Question Number,2025300001,2025300005,2025300006,2025300007,2025300010,2025300012,2025300020,2025300025
154,B,D,D,D,D,D,D,D
155,A,A,A,A,A,A,A,A
156,D,D,D,D,D,D,D,D
157,C,C,C,C,B,C,C,C
158,B,B,B,B,B,B,B,B
159,A,A,A,A,A,A,A,A
160,B,B,B,B,B,B,B,B
161,D,B,D,B,C,A,B,B
162,C,C,C,C,C,C,C,C
163,D,B,D,D,D,D,D,D
164,B,A,A,B,,B,B,B
165,A,C,A,C,C,C,D,D
166,,A,C,C,C,C,C,
167,,A,D,A,D,D,,A
168,,D,D,,B,D,D,D
169,,A,D,B,B,A,D,B
170,,C,B,,,B,,D
171,D,D,A,D,D,D,B,D
172,B,B,D,A,A,A,C,C
173,C,C,C,C,C,C,C,C
174,C,C,C,C,C,C,C,C
175,B,B,B,B,B,B,B,C
176,B,B,B,B,B,B,B,A
177,,C,A,D,D,D,A,
178,,C,C,C,C,C,C,
179,B,B,B,B,B,B,B,B
180,,D,D,A,,,A,
