Question Number,2025300001,2025300002,2025300003,2025300004,2025300005,2025300007,2025300009,2025300010,2025300011,2025300012,2025300014,2025300019,2025300020,2025300021,2025300025
123,D,D,D,D,D,D,C,D,D,A,,D,D,D,D
124,A,A,A,A,A,A,A,A,A,A,,C,A,A,A
125,D,D,D,D,D,D,A,D,B,D,,D,D,D,D
126,A,A,D,A,A,A,,A,A,A,A,A,A,A,A
127,B,B,A,B,B,A,,B,A,B,,B,B,B,B
128,A,A,A,A,A,A,,A,A,A,A,A,A,A,A
129,A,A,A,A,A,A,C,A,A,A,,,A,A,A
130,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
131,A,B,A,A,A,A,,A,,A,,,D,A,A
132,B,B,B,B,B,B,,B,B,B,A,,B,B,B
133,D,D,D,D,D,D,,D,D,D,B,D,D,D,D
134,A,A,A,A,A,A,,A,A,A,A,A,A,A,A
135,A,B,A,A,A,A,,A,,,,B,A,,B
136,,C,C,C,C,C,C,C,C,B,,C,C,C,C
137,,A,A,A,A,C,A,C,A,A,,,A,A,A
138,B,B,C,B,B,C,B,B,C,B,,B,B,B,B
139,D,D,A,D,A,D,D,D,D,C,,A,,,A
140,C,C,B,C,B,C,C,C,C,A,,C,C,B,A
141,A,D,D,D,D,D,D,D,D,D,,C,D,C,D
142,A,C,D,C,D,C,,C,B,A,,C,C,C,C
143,D,D,D,D,D,D,,D,D,A,,D,D,D,D
144,C,C,A,C,A,C,,C,A,C,C,C,,,C
145,C,C,C,C,C,C,,C,C,C,,C,D,B,C
146,D,B,B,B,B,B,,D,,B,,A,D,D,B
147,D,D,D,,D,D,,C,C,C,C,D,D,D,D
148,D,D,D,D,D,D,,D,D,D,D,D,D,D,D
149,B,B,B,B,B,B,,B,B,A,B,B,B,A,A
150,C,C,C,C,C,C,,B,,C,,C,,C,C
151,D,A,D,D,D,D,,D,D,A,,D,D,B,D
152,C,C,C,C,C,C,,C,C,C,C,C,C,C,C
153,B,B,B,B,B,B,,B,B,B,B,B,B,B,B
154,A,A,A,A,A,A,,A,A,A,A,A,A,A,A
155,D,D,,D,D,D,,C,A,D,,A,D,D,D
156,B,B,B,B,B,B,,B,B,B,,C,B,A,B
157,D,D,B,D,D,D,,D,D,D,,D,D,D,D
158,B,B,D,B,A,B,,B,D,,B,,B,B,B
159,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
160,D,D,D,D,D,D,D,D,D,D,D,B,D,D,D
161,B,B,B,D,B,B,D,B,B,B,,B,D,B,B
162,A,B,A,A,A,A,A,A,B,A,A,B,A,B,A
163,C,C,C,C,C,C,C,C,C,C,C,B,C,C,C
164,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
165,C,C,C,C,C,C,C,C,A,C,,C,C,C,C
166,C,C,C,C,C,C,C,C,B,,C,,A,C,C
167,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
168,C,C,C,C,C,C,C,A,B,B,C,B,C,C,C
169,A,A,A,A,A,A,A,C,B,A,B,A,A,A,A
170,A,A,A,A,A,A,A,D,,A,,,D,A,A
171,B,B,B,B,B,B,B,B,B,B,,B,B,B,B
172,D,D,D,D,D,D,D,D,,D,D,D,D,D,C
173,C,C,A,B,A,C,B,C,C,C,B,C,C,C,C
174,A,A,C,A,C,A,A,A,A,A,C,C,A,A,A
175,C,C,C,C,C,C,C,D,A,C,C,C,C,C,C
176,B,B,B,B,B,B,B,B,B,B,B,B,A,B,B
177,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
178,C,C,C,C,C,C,C,A,C,A,C,C,B,A,C
179,A,A,A,A,A,A,A,A,,A,A,A,D,A,A
180,B,A,A,A,A,A,A,B,D,B,A,A,A,A,D
